wallet,token_name,symbol,amount,decimals,mint
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,3870.350186,6,4VmM3zSC9uSAN6gjxZJUbswpYgUfSRfTa2Mvw2NSdKNd
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,44713.254155685,9,D3r2xhpyH6dSesc1AgMcyepehX6VE5Sz2XBuqMikXoiC
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,9,93RC484oMK5T9H89rzT5qiAXKHGP9jscXfFfrihNbe57
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,10767.220107,6,hG9ha8V7vPU91Y92kV6W6dM76LF3FBmXR15M2desmth
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,3284.632043748,9,2dKU18BVP6czmCXovU883pamDJimsUC8ebif1jyYm6X5
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,15049.915099599,9,GrWB9mM9erPU4mBSuAa8voa2ekcxhWJxpB9kiDxAmoon
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,5182.06649925,9,CfYHd7LdPoi75P3fwConrqCpTED4dveKRi8S4rBMQkft
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,110913.090048032,9,C8YSCrPYprQTiegj7mdk8EqWTWPEoqJaFe5YaNEbWdtA
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,992.954100857,9,4MNUw5vWyhC4cU19RUqGTeyY5kAAjshMZYEiJawLmoon
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,124707.704265,6,8Uo4LNUrqJ5ium42PNav4auig3UBCjrUrrWa1TvjxapT
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,31667.777705205,9,8tsaSxG2JeYE2dXyz4m1WBwZEUbuwZGGTegVtZb11km4
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.2,9,G9rDx2ZGuKZGGiYkShNBJsEXcsxmRsEtKyHxrqdLxPKn
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,11809.759236221,9,CqMriVmfiey2RSC87cze2YDZUTLoAUJuMKnMToAgC2d9
